Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,c,Mn,Mw
409B,30,26.28,25,6.81,0.22411,7.2672,0.06,2047000,1389000
409B,30,26.28,25,10,0.3706,10.643,0.06,2047000,1389000
409B,30,26.28,25,14.7,0.75869,15.698,0.06,2047000,1389000
409B,30,26.28,25,21.5,1.4188,23.39,0.06,2047000,1389000
409B,30,26.28,25,31.6,1.3654,31.524,0.06,2047000,1389000
409B,30,26.28,25,46.4,2.4198,44.073,0.06,2047000,1389000
409B,30,26.28,25,68.1,2.3927,59.709,0.06,2047000,1389000
409B,30,26.28,25,100,0.0036987,73.974,0.06,2047000,1389000
409B,30,26.28,30,0.01,0.29451,0.054737,0.06,2047000,1389000
409B,30,26.28,30,0.0147,2.43E-06,0.048542,0.06,2047000,1389000
409B,30,26.28,30,0.0215,0.0066609,0.028382,0.06,2047000,1389000
409B,30,26.28,30,0.0316,0.022124,0.019702,0.06,2047000,1389000
409B,30,26.28,30,0.0464,0.0065583,0.068481,0.06,2047000,1389000
409B,30,26.28,30,0.0681,0.043178,0.070316,0.06,2047000,1389000
409B,30,26.28,30,0.1,0.034438,0.10601,0.06,2047000,1389000
409B,30,26.28,30,0.147,0.027342,0.19197,0.06,2047000,1389000
409B,30,26.28,30,0.215,0.056822,0.24926,0.06,2047000,1389000
409B,30,26.28,30,0.316,0.030688,0.34677,0.06,2047000,1389000
409B,30,26.28,30,0.464,0.038845,0.50576,0.06,2047000,1389000
409B,30,26.28,30,0.681,0.022278,0.74724,0.06,2047000,1389000
409B,30,26.28,30,1,0.056351,1.0883,0.06,2047000,1389000
409B,30,26.28,30,1.47,0.069278,1.5509,0.06,2047000,1389000
409B,30,26.28,30,2.15,0.11252,2.2953,0.06,2047000,1389000
409B,30,26.28,30,3.16,0.18398,3.3383,0.06,2047000,1389000
409B,30,26.28,30,4.64,0.26327,4.858,0.06,2047000,1389000
409B,30,26.28,30,6.81,0.54194,7.2126,0.06,2047000,1389000
409B,30,26.28,30,10,0.97117,10.504,0.06,2047000,1389000
409B,30,26.28,30,14.7,1.9611,15.58,0.06,2047000,1389000
409B,30,26.28,30,21.5,3.9597,23.177,0.06,2047000,1389000
409B,30,26.28,30,31.6,7.0968,31.421,0.06,2047000,1389000
409B,30,26.28,30,46.4,13.924,44.462,0.06,2047000,1389000
409B,30,26.28,30,68.1,27.81,60.698,0.06,2047000,1389000
409B,30,26.28,30,100,50.423,80.115,0.06,2047000,1389000
409B,30,26.28,35,0.01,0.12285,0.064216,0.06,2047000,1389000
409B,30,26.28,35,0.0147,0.014224,0.0063127,0.06,2047000,1389000
409B,30,26.28,35,0.0215,2.28E-06,0.04559,0.06,2047000,1389000
409B,30,26.28,35,0.0316,2.21E-06,0.044123,0.06,2047000,1389000
409B,30,26.28,35,0.0464,2.94E-06,0.05871,0.06,2047000,1389000
409B,30,26.28,35,0.0681,4.72E-06,0.094326,0.06,2047000,1389000
409B,30,26.28,35,0.1,5.05E-06,0.10102,0.06,2047000,1389000
409B,30,26.28,35,0.147,0.00062441,0.15655,0.06,2047000,1389000
409B,30,26.28,35,0.215,1.04E-05,0.20873,0.06,2047000,1389000
409B,30,26.28,35,0.316,1.56E-05,0.31171,0.06,2047000,1389000
409B,30,26.28,35,0.464,2.40E-05,0.48022,0.06,2047000,1389000
409B,30,26.28,35,0.681,3.42E-05,0.68386,0.06,2047000,1389000
409B,30,26.28,35,1,0.0045766,0.98092,0.06,2047000,1389000
409B,30,26.28,35,1.47,0.039997,1.4431,0.06,2047000,1389000
409B,30,26.28,35,2.15,0.08758,2.1341,0.06,2047000,1389000
409B,30,26.28,35,3.16,0.16064,3.0763,0.06,2047000,1389000
409B,30,26.28,35,4.64,0.28478,4.5074,0.06,2047000,1389000
409B,30,26.28,35,6.81,0.49329,6.6222,0.06,2047000,1389000
409B,30,26.28,35,10,1.0009,9.6907,0.06,2047000,1389000
409B,30,26.28,35,14.7,2.0384,14.337,0.06,2047000,1389000
409B,30,26.28,35,21.5,4.0744,21.424,0.06,2047000,1389000
409B,30,26.28,35,31.6,7.2308,28.868,0.06,2047000,1389000
409B,30,26.28,35,46.4,14.32,40.878,0.06,2047000,1389000
409B,30,26.28,35,68.1,28.62,56.828,0.06,2047000,1389000
409B,30,26.28,35,100,54.411,73.626,0.06,2047000,1389000
409C,30,30.75,15,0.01,0.3885,0.50062,0.06,2921000,2920000
409C,30,30.75,15,0.0147,0.033498,0.72923,0.06,2921000,2920000
409C,30,30.75,15,0.0215,0.092053,1.0141,0.06,2921000,2920000
409C,30,30.75,15,0.0316,0.11254,1.4544,0.06,2921000,2920000
409C,30,30.75,15,0.0464,0.16051,2.2286,0.06,2921000,2920000
409C,30,30.75,15,0.0681,0.20336,3.1448,0.06,2921000,2920000
409C,30,30.75,15,0.1,0.2293,4.6192,0.06,2921000,2920000
409C,30,30.75,15,0.147,0.36924,6.6933,0.06,2921000,2920000
409C,30,30.75,15,0.215,0.56987,9.7912,0.06,2921000,2920000
409C,30,30.75,15,0.316,1.0714,14.193,0.06,2921000,2920000
409C,30,30.75,15,0.464,2.0374,20.641,0.06,2921000,2920000
