Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,tan_delta,flag_suspicious,sample_weight
407B,100,23.39,25,0.316,6.6061,5.0119,0.7586775858676073,False,1.0
407B,100,23.39,25,0.464,7.5082,5.6825,0.7568391891531925,False,1.0
407B,100,23.39,25,0.681,8.579,6.4221,0.7485837510199324,False,1.0
407B,100,23.39,25,1.0,9.8199,7.2313,0.7363924276214625,False,1.0
407B,100,23.39,25,1.47,11.192,8.1752,0.7304503216583274,False,1.0
407B,100,23.39,25,2.15,12.833,9.2212,0.718553728668277,False,1.0
407B,100,23.39,25,3.16,14.655,10.388,0.7088365745479359,False,1.0
407B,100,23.39,25,4.64,16.804,11.694,0.6959057367293503,False,1.0
407B,100,23.39,25,6.81,19.276,13.164,0.68292176800166,False,1.0
407B,100,23.39,25,10.0,22.127,14.825,0.669995932571067,False,1.0
407B,100,23.39,25,14.7,25.283,16.751,0.6625400466716767,False,1.0
407B,100,23.39,25,21.5,28.811,19.306,0.6700912845788067,False,1.0
407B,100,23.39,25,31.6,31.46,20.09,0.6385886840432294,False,1.0
407B,100,23.39,25,46.4,33.898,21.857,0.6447873030857277,False,1.0
407B,100,23.39,25,68.1,33.637,23.473,0.6978327437048488,False,1.0
407B,100,23.39,25,100.0,26.005,21.074,0.810382618727168,False,1.0
407B,100,23.39,30,0.01,2.7341,3.2931,1.2044548480304305,False,1.0
407B,100,23.39,30,0.0147,4.615,5.8252,1.2622318526543876,False,1.0
407B,100,23.39,30,0.0215,6.4956,7.4056,1.1400948334257035,False,1.0
407B,100,23.39,30,0.0316,7.9842,8.8559,1.1091781268004308,False,1.0
407B,100,23.39,30,0.0464,9.4136,9.9721,1.0593290558341122,False,1.0
407B,100,23.39,30,0.0681,10.8,11.118,1.0294444444444444,False,1.0
407B,100,23.39,30,0.1,12.663,12.26,0.9681749980257442,False,1.0
407B,100,23.39,30,0.147,14.725,13.491,0.9161969439728354,False,1.0
407B,100,23.39,30,0.215,16.729,15.037,0.8988582700699386,False,1.0
407B,100,23.39,30,0.316,19.097,16.563,0.8673090014138345,False,1.0
407B,100,23.39,30,0.464,21.768,18.327,0.8419239250275634,False,1.0
407B,100,23.39,30,0.681,24.762,20.168,0.8144737904854211,False,1.0
407B,100,23.39,30,1.0,28.445,22.248,0.7821409738091053,False,1.0
407B,100,23.39,30,1.47,32.628,24.505,0.7510420497732009,False,1.0
407B,100,23.39,30,2.15,37.535,27.038,0.7203410150526176,False,1.0
407B,100,23.39,30,3.16,43.093,29.494,0.6844267050333,False,1.0
407B,100,23.39,30,4.64,49.529,32.156,0.6492358012477538,False,1.0
407B,100,23.39,30,6.81,56.539,34.719,0.6140717027184776,False,1.0
407B,100,23.39,30,10.0,64.52,37.304,0.5781773093614384,False,1.0
407B,100,23.39,30,14.7,73.165,40.081,0.5478165789653523,False,1.0
407B,100,23.39,30,21.5,81.952,43.635,0.5324458219445529,False,1.0
407B,100,23.39,30,31.6,91.409,44.485,0.4866588629128422,False,1.0
407B,100,23.39,30,46.4,101.11,46.13,0.45623578281080013,False,1.0
407B,100,23.39,30,68.1,111.71,48.066,0.4302748187270612,False,1.0
407B,100,23.39,30,100.0,113.53,44.605,0.3928917466748877,False,1.0
407B,100,23.39,35,0.01,4.2844,7.6426,1.783820371580618,False,1.0
407B,100,23.39,35,0.0147,5.5817,10.459,1.8738018883135963,False,1.0
407B,100,23.39,35,0.0215,9.517,12.368,1.2995691919722603,False,1.0
407B,100,23.39,35,0.0316,11.689,15.762,1.3484472581059115,False,1.0
407B,100,23.39,35,0.0464,15.303,18.067,1.1806181794419395,False,1.0
407B,100,23.39,35,0.0681,18.356,20.25,1.1031815210285465,False,1.0
407B,100,23.39,35,0.1,21.836,22.32,1.0221652317274228,False,1.0
407B,100,23.39,35,0.147,25.972,24.237,0.9331972893885722,False,1.0
407B,100,23.39,35,0.215,29.546,26.518,0.8975157381709876,False,1.0
407B,100,23.39,35,0.316,33.982,28.882,0.8499205461715026,False,1.0
407B,100,23.39,35,0.464,38.914,31.382,0.8064449812406846,False,1.0
407B,100,23.39,35,0.681,44.458,33.911,0.7627648567187009,False,1.0
407B,100,23.39,35,1.0,50.78,36.714,0.7230011815675462,False,1.0
407B,100,23.39,35,1.47,57.964,39.591,0.6830273963149541,False,1.0
407B,100,23.39,35,2.15,66.064,42.414,0.6420138047953501,False,1.0
407B,100,23.39,35,3.16,75.089,45.215,0.602152112826113,False,1.0
407B,100,23.39,35,4.64,84.975,47.922,0.563954104148279,False,1.0
407B,100,23.39,35,6.81,95.673,50.509,0.5279336908009574,False,1.0
407B,100,23.39,35,10.0,107.19,52.994,0.49439313368784404,False,1.0
407B,100,23.39,35,14.7,119.46,55.506,0.4646408839779006,False,1.0
407B,100,23.39,35,21.5,132.26,58.316,0.44091940117949496,False,1.0
